scenario,metric,comparison,median_target,median_baseline,wilcoxon_statistic,wilcoxon_p,p_holm,stars,rank_biserial_r,n_pairs,friedman_p_omnibus,significant
Resting (tau_v=0),TPSR [%],EADRC+ZPLP vs EADRC+EBMFLC,70.28890838642047,66.48560273137466,2045.0,0.09921387321919421,0.4960693660959711,ns,0.1900990099009901,100,2.802126398885092e-46,False
Resting (tau_v=0),TPSR [%],EADRC+ZPLP vs DE-PID,70.28890838642047,99.91862060253717,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,2.802126398885092e-46,True
Resting (tau_v=0),TPSR [%],EADRC+ZPLP vs IMC-PID,70.28890838642047,42.91283954972931,474.0,1.7855158329091818e-12,1.4284126663273454e-11,***,0.8122772277227723,100,2.802126398885092e-46,True
Resting (tau_v=0),R2,EADRC+ZPLP vs EADRC+EBMFLC,0.45577438676882526,0.4276540036093077,2139.0,0.18501391206776419,0.7400556482710567,ns,0.15287128712871287,100,4.900396075361447e-55,False
Resting (tau_v=0),R2,EADRC+ZPLP vs DE-PID,0.45577438676882526,0.9987821273468609,0.0,3.955911608899571e-18,7.120640896019228e-17,***,-1.0,100,4.900396075361447e-55,True
Resting (tau_v=0),R2,EADRC+ZPLP vs IMC-PID,0.45577438676882526,-0.14090321966654323,64.0,2.6738147313498776e-17,3.208577677619853e-16,***,0.9746534653465346,100,4.900396075361447e-55,True
Resting (tau_v=0),Entropy [bits],EADRC+ZPLP vs EADRC+EBMFLC,5.20635153262871,5.185281596270702,2484.0,0.8892508952828313,0.8892508952828313,ns,-0.016237623762376238,100,2.320983869729527e-49,False
Resting (tau_v=0),Entropy [bits],EADRC+ZPLP vs DE-PID,5.20635153262871,4.848234659794489,59.0,2.3069822487853643e-17,2.9990769234209736e-16,***,0.9766336633663366,100,2.320983869729527e-49,True
Resting (tau_v=0),Entropy [bits],EADRC+ZPLP vs IMC-PID,5.20635153262871,5.486284109123899,225.0,2.648794301804704e-15,2.6487943018047043e-14,***,-0.9108910891089109,100,2.320983869729527e-49,True
Resting (tau_v=0),IAE [rad x s],EADRC+ZPLP vs EADRC+EBMFLC,0.7193544800669589,0.7533876455479416,2150.0,0.19786690165505472,0.7400556482710567,ns,-0.1485148514851485,100,2.802126398885092e-46,False
Resting (tau_v=0),IAE [rad x s],EADRC+ZPLP vs DE-PID,0.7193544800669589,0.0340131978700765,0.0,3.955911608899571e-18,7.120640896019228e-17,***,1.0,100,2.802126398885092e-46,True
